PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
4,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
10,120,252,134,514,,,5,5,3,1,NA,NA,120,252,,,,,2,2,NA,NA,NA,NA,120,252,,,NA,NA,1,1,NA,NA,NA,NA
14,281,,,,,,4,NA,NA,NA,NA,NA,281,,,,,,2,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
15,389,410,445,531,,,3,4,3,4,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
18,546,487,385,48,94,283,3,3,2,2,3,2,546,283,385,96,94,487,1,1,1,1,1,3,546,487,,,,,4,4,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
23,106,316,1,,,,3,3,3,NA,NA,NA,106,,,,,,3,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
24,344,259,168,59,417,328,4,4,3,3,2,1,344,259,168,,,,2,2,3,NA,NA,NA,344,,,,,,3,NA,NA,NA,NA,NA
26,361,440,126,233,,,3,2,3,3,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,361,440,233,126,,,2,1,2,2,NA,NA
28,,,,,,,NA,NA,NA,NA,NA,NA,201,1009,406,,,,1,2,2,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
29,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
30,71,348,180,222,116,,5,3,3,3,2,NA,71,348,,,,,2,2,NA,NA,NA,NA,71,,,,,,2,NA,NA,NA,NA,NA
33,168,,,,,,3,NA,NA,NA,NA,NA,168,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
36,247,516,,,,,5,5,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,516,247,,,,,NA,1,NA,NA,NA,NA
38,342,487,147,233,480,199,5,1,1,2,2,2,342,233,199,,,,1,3,2,NA,NA,NA,233,342,,,,,3,1,NA,NA,NA,NA
40,433,485,252,,,,5,3,3,NA,NA,NA,433,485,,,,,2,3,NA,NA,NA,NA,433,,,,NA,NA,1,NA,NA,NA,NA,NA
41,504,184,186,6,,,3,4,3,3,NA,NA,184,186,,,,,2,2,NA,NA,NA,NA,184,,,,,,4,NA,NA,NA,NA,NA
42,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
44,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
47,486,,,,,,2,NA,NA,NA,NA,NA,486,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
49,,,,,,,5,4,4,3,3,NA,,,,,,,1,2,3,NA,NA,NA,,,,,,,2,3,NA,NA,NA,NA
50,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
55,149,209,122,108,,,5,4,3,3,NA,NA,149,209,,,,,2,2,NA,NA,NA,NA,149,209,,,,,3,3,NA,NA,NA,NA
56,258,386,,,,,2,2,NA,NA,NA,NA,386,258,,,,,2,2,NA,NA,NA,NA,,,,,,,4,NA,NA,NA,NA,NA
57,408,355,,,,,1,1,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
58,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
62,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
